section,code,indicator,yes_bar,n_lessons,n_cells,na_rate,pooled_p_yes,ac1,kripp_alpha,pairwise_agreement,ac1_dedup,mean_flip_rate,n_lessons_flipped,pct_lessons_flipped,n_disagreements,n_verdicts,p_unstable,lesson_yes_sd,lesson_yes_min,lesson_yes_max,n_lessons_yes,n_lessons_no,chi2_discrimination,p_discriminates,mean_confidence,conf_when_yes,conf_when_no,votes_needed,q_unstable,q_discriminates,reliable,discriminates,verdict_class
B,B1,Instructional Clarity & Learning Objectives,"Clear objective stated, referred to during lesson, linked to classroom activities.",10,100,0.0,0.54,0.8940116587175411,0.893719806763285,0.9466666666666668,0.867986798679868,0.04,1,0.1,4,100,0.7421613408839848,0.4993328882953067,0.0,1.0,5,5,90.33816425120771,1.3925536270919434e-15,0.78,0.7127777777777777,0.8589130434782611,1.0,1.0,2.3673411660563038e-14,True,True,HEALTHY
B,B3,Activities & Tasks Alignment,Most activities directly support the learning objective.,10,100,0.0,0.87,0.9396915654346516,0.7957559681697612,0.9533333333333334,0.919851152139688,0.03,1,0.1,3,100,0.8817370188148796,0.3198958163736021,0.0,1.0,9,1,81.43236074270555,8.38930677404041e-14,0.7666,0.7751724137931034,0.7092307692307693,1.0,1.0,1.1745029483656577e-12,True,True,HEALTHY
B,B4,Activation of Prior Knowledge,Teacher connects new content to previously taught material.,10,100,0.0,0.71,0.724205674562696,0.6100048567265663,0.8377777777777778,0.6229582284201692,0.11,4,0.4,11,100,0.0114724100674847,0.3842742076521226,0.0,1.0,8,2,64.54589606605148,1.7679789244080832e-10,0.7338000000000002,0.7346478873239435,0.7317241379310342,3.0,0.3212274818895718,1.5911810319672747e-09,True,True,HEALTHY
B,B5,Meaningful & Real-World Connections,Content connected to students' lives or local context.,10,100,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0,0.0,0,100,1.0,0.5270462766947299,0.0,1.0,5,5,100.0,1.5735176303753876e-17,0.7816000000000001,0.7938,0.7694,1.0,1.0,3.304387023788289e-16,True,True,HEALTHY
B,B6,Differentiation / Catering to Learning Levels,Tasks differentiated for at least 2 ability groups.,10,100,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,100,1.0,0.0,0.0,0.0,0,10,,,0.8184,,0.8184,1.0,1.0,,True,False,UNINFORMATIVE
B,B7,Use of Taleemabad Lesson Plan,Plan followed with minor contextual adaptations.,10,100,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,100,1.0,0.0,0.0,0.0,0,10,,,0.6710999999999997,,0.6710999999999997,1.0,1.0,,True,False,UNINFORMATIVE
B,B8,Use of Prescribed Resources,Key resources used as prescribed in lesson plan.,10,100,0.0,0.06,0.894800120228434,0.1808510638297872,0.9066666666666666,0.8645379777455249,0.06,2,0.2,6,100,0.3840008720438589,0.1264911064067351,0.0,0.3,0,10,25.53191489361702,0.002435820654348,0.688,0.555,0.6964893617021276,3.0,1.0,0.004871641308696,True,True,HEALTHY
B,B10,Lesson Closure & Consolidation,"Structured closure: recap key points, check understanding.",10,100,0.0,0.39,0.8940183984060367,0.8844052122740648,0.9444444444444444,0.8708761056233455,0.0299999999999999,2,0.2,3,100,0.8817370188148796,0.4863697724525606,0.0,1.0,4,6,89.49138293400588,2.0592145172511386e-15,0.7390000000000001,0.6335897435897436,0.8063934426229508,1.0,1.0,3.2947432276018224e-14,True,True,HEALTHY
C,C1,Quality Questioning (Bloom's Aligned),Purposeful mix including application & analysis questions. Open-ended questions dominate. Wait time given.,10,100,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,100,1.0,0.0,0.0,0.0,0,10,,,0.8836999999999999,,0.8836999999999999,1.0,1.0,,True,False,UNINFORMATIVE
C,C2,Responsive Re-explanation & Adaptive Teaching,"Uses alternative representations (visual, concrete, analogy). Adjusts teaching to student level.",10,100,0.0,0.1,1.0,1.0,1.0,1.0,0.0,0,0.0,0,100,1.0,0.3162277660168379,0.0,1.0,1,9,100.0,1.573517630375376e-17,0.7444000000000003,0.709,0.7483333333333333,1.0,1.0,3.304387023788289e-16,True,True,HEALTHY
C,C3,Effective Feedback,Specific feedback on what was done well and what to improve. Actionable.,10,100,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,100,1.0,0.0,0.0,0.0,0,10,,,0.8912,,0.8912,1.0,1.0,,True,False,UNINFORMATIVE
C,C5,Student Agency & Voice,Students make choices about how to demonstrate learning. Explore multiple perspectives.,10,100,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,100,1.0,0.0,0.0,0.0,0,10,,,0.8675999999999999,,0.8675999999999999,1.0,1.0,,True,False,UNINFORMATIVE
C,C7,Positive & Supportive Learning Environment,"Warm, encouraging tone; mistakes treated as learning opportunities.",10,100,0.0,0.73,0.8055830673856426,0.7042110603754439,0.8822222222222222,0.8388589471392018,0.0699999999999999,3,0.3,7,100,0.2339860159851682,0.4001388647846034,0.0,1.0,7,3,73.11009639776762,3.727524833198917e-12,0.6920999999999999,0.7093150684931506,0.6455555555555555,3.0,1.0,4.4730297998387005e-11,True,True,HEALTHY
