session_id,section,yes_rate_14,band_14,bands_seen_14,band_unstable_14,yes_rate_bin,band_bin,bands_seen_bin,band_unstable_bin,band_agrees
Lesson-01,B,0.375,Low,Low,False,0.375,Low,Low,False,True
Lesson-01,C,0.04,Low,Low,False,0.03,Low,Low,False,True
Lesson-01,D,0.625,Medium,Low/Medium,True,0.65,Medium,Low/Medium,True,True
Lesson-01,F,0.1833333333333333,Low,Low,False,0.1666666666666666,Low,Low,False,True
Lesson-01,ALL,0.25,Low,Low,False,0.2464285714285714,Low,Low,False,True
Lesson-02,B,0.5,Low,Low/Medium,True,0.5,Low,Low,False,True
Lesson-02,C,0.11,Low,Low,False,0.1,Low,Low,False,True
Lesson-02,D,0.5,Low,Low/Medium,True,0.725,Medium,Low/Medium,True,False
Lesson-02,F,0.3333333333333333,Low,Low,False,0.3333333333333333,Low,Low,False,True
Lesson-02,ALL,0.325,Low,Low,False,0.3535714285714286,Low,Low,False,True
Lesson-03,B,0.2625,Low,Low,False,0.4,Low,Low,False,True
Lesson-03,C,0.1,Low,Low,False,0.1,Low,Low,False,True
Lesson-03,D,0.425,Low,Low,False,0.45,Low,Low,False,True
Lesson-03,F,0.15,Low,Low,False,0.1833333333333333,Low,Low,False,True
Lesson-03,ALL,0.2035714285714285,Low,Low,False,0.2535714285714285,Low,Low,False,True
Lesson-04,B,0.0125,Low,Low,False,0.1,Low,Low,False,True
Lesson-04,C,0.1,Low,Low,False,0.08,Low,Low,False,True
Lesson-04,D,0.025,Low,Low,False,0.0,Low,Low,False,True
Lesson-04,F,0.0166666666666666,Low,Low,False,0.15,Low,Low,False,True
Lesson-04,ALL,0.0464285714285714,Low,Low,False,0.0892857142857142,Low,Low,False,True
Lesson-05,B,0.625,Medium,Low/Medium,True,0.6625,Medium,Medium,False,True
Lesson-05,C,0.2999999999999999,Low,Low,False,0.26,Low,Low,False,True
Lesson-05,D,0.7,Medium,Low/Medium,True,0.75,Medium,Medium,False,True
Lesson-05,F,0.5,Low,Low/Medium,True,0.5666666666666667,Low,Low/Medium,True,True
Lesson-05,ALL,0.4928571428571427,Low,Low,False,0.5107142857142857,Low,Low,False,True
Lesson-06,B,0.375,Low,Low,False,0.375,Low,Low,False,True
Lesson-06,C,0.1,Low,Low,False,0.02,Low,Low,False,True
Lesson-06,D,0.5555555555555556,Low,Low/Medium,True,0.7,Medium,Low/Medium,True,False
Lesson-06,F,0.1666666666666666,Low,Low,False,0.15,Low,Low,False,True
Lesson-06,ALL,0.2579365079365079,Low,Low,False,0.2464285714285713,Low,Low,False,True
Lesson-07,B,0.4875,Low,Low/Medium,True,0.5,Low,Low,False,True
Lesson-07,C,0.14,Low,Low,False,0.1,Low,Low,False,True
Lesson-07,D,0.475,Low,Low,False,0.725,Medium,Low/Medium,True,False
Lesson-07,F,0.35,Low,Low,False,0.3833333333333333,Low,Low,False,True
Lesson-07,ALL,0.3321428571428572,Low,Low,False,0.3642857142857143,Low,Low,False,True
Lesson-08,B,0.2875,Low,Low,False,0.375,Low,Low/Medium,True,True
Lesson-08,C,0.13,Low,Low,False,0.1,Low,Low,False,True
Lesson-08,D,0.45,Low,Low,False,0.475,Low,Low/Medium,True,True
Lesson-08,F,0.15,Low,Low,False,0.2166666666666666,Low,Low,False,True
Lesson-08,ALL,0.225,Low,Low,False,0.2571428571428571,Low,Low,False,True
Lesson-09,B,0.4375,Low,Low/Medium,True,0.55,Low,Low/Medium,True,True
Lesson-09,C,0.24,Low,Low,False,0.22,Low,Low,False,True
Lesson-09,D,0.7,Medium,Low/Medium,True,0.8,Medium,Low/Medium/High,True,True
Lesson-09,F,0.3666666666666667,Low,Low,False,0.3333333333333333,Low,Low,False,True
Lesson-09,ALL,0.3892857142857143,Low,Low,False,0.4214285714285714,Low,Low,False,True
Lesson-10,B,0.0,Low,Low,False,0.0,Low,Low,False,True
Lesson-10,C,0.0,Low,Low,False,0.0,Low,Low,False,True
Lesson-10,D,0.425,Low,Low,False,0.5,Low,Low,False,True
Lesson-10,F,0.0333333333333333,Low,Low,False,0.15,Low,Low,False,True
Lesson-10,ALL,0.0678571428571428,Low,Low,False,0.1035714285714285,Low,Low,False,True
