session_id,section,yes_rate,min_run,max_run,sd_across_runs,band,bands_seen,band_flips,band_unstable
Lesson-01,B,0.375,0.375,0.375,0.0,Low,Low,0,False
Lesson-01,C,0.03,0.0,0.1,0.0483045891539648,Low,Low,0,False
Lesson-01,D,0.65,0.25,0.75,0.1748014746950252,Medium,Low/Medium,1,True
Lesson-01,F,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.925694557147251e-17,Low,Low,0,False
Lesson-01,ALL,0.2464285714285714,0.1785714285714285,0.2857142857142857,0.035515318786134,Low,Low,0,False
Lesson-02,B,0.5,0.5,0.5,0.0,Low,Low,0,False
Lesson-02,C,0.1,0.1,0.1,0.0,Low,Low,0,False
Lesson-02,D,0.725,0.5,0.75,0.0790569415042094,Medium,Low/Medium,1,True
Lesson-02,F,0.3333333333333333,0.0,0.5,0.1360827634879543,Low,Low,0,False
Lesson-02,ALL,0.3535714285714286,0.2857142857142857,0.3928571428571428,0.0263523138347364,Low,Low,0,False
Lesson-03,B,0.4,0.25,0.5,0.0986013297183269,Low,Low,0,False
Lesson-03,C,0.1,0.1,0.1,0.0,Low,Low,0,False
Lesson-03,D,0.45,0.25,0.5,0.1054092553389459,Low,Low,0,False
Lesson-03,F,0.1833333333333333,0.1666666666666666,0.3333333333333333,0.0527046276694729,Low,Low,0,False
Lesson-03,ALL,0.2535714285714285,0.1785714285714285,0.2857142857142857,0.035515318786134,Low,Low,0,False
Lesson-04,B,0.1,0.0,0.125,0.0527046276694729,Low,Low,0,False
Lesson-04,C,0.08,0.0,0.1,0.0421637021355783,Low,Low,0,False
Lesson-04,D,0.0,0.0,0.0,0.0,Low,Low,0,False
Lesson-04,F,0.15,0.0,0.3333333333333333,0.1459325059618188,Low,Low,0,False
Lesson-04,ALL,0.0892857142857142,0.0,0.1428571428571428,0.0483573714561664,Low,Low,0,False
Lesson-05,B,0.6625,0.625,0.75,0.0603807364424559,Medium,Medium,0,False
Lesson-05,C,0.26,0.2,0.3,0.0516397779494322,Low,Low,0,False
Lesson-05,D,0.75,0.75,0.75,0.0,Medium,Medium,0,False
Lesson-05,F,0.5666666666666667,0.3333333333333333,0.6666666666666666,0.1165343164633501,Low,Low/Medium,1,True
Lesson-05,ALL,0.5107142857142857,0.4642857142857143,0.5357142857142857,0.0294025929410201,Low,Low,0,False
Lesson-06,B,0.375,0.375,0.375,0.0,Low,Low,0,False
Lesson-06,C,0.02,0.0,0.1,0.0421637021355783,Low,Low,0,False
Lesson-06,D,0.7,0.25,0.75,0.1581138830084189,Medium,Low/Medium,1,True
Lesson-06,F,0.15,0.0,0.1666666666666666,0.0527046276694729,Low,Low,0,False
Lesson-06,ALL,0.2464285714285713,0.1785714285714285,0.2857142857142857,0.0312712512775326,Low,Low,0,False
Lesson-07,B,0.5,0.5,0.5,0.0,Low,Low,0,False
Lesson-07,C,0.1,0.1,0.1,0.0,Low,Low,0,False
Lesson-07,D,0.725,0.5,0.75,0.0790569415042094,Medium,Low/Medium,1,True
Lesson-07,F,0.3833333333333333,0.1666666666666666,0.5,0.1372121003914274,Low,Low,0,False
Lesson-07,ALL,0.3642857142857143,0.3214285714285714,0.3928571428571428,0.0281718084909505,Low,Low,0,False
Lesson-08,B,0.375,0.25,0.625,0.1317615691736824,Low,Low/Medium,1,True
Lesson-08,C,0.1,0.1,0.1,0.0,Low,Low,0,False
Lesson-08,D,0.475,0.25,0.75,0.1419115530493866,Low,Low/Medium,1,True
Lesson-08,F,0.2166666666666666,0.1666666666666666,0.3333333333333333,0.0805076485899413,Low,Low,0,False
Lesson-08,ALL,0.2571428571428571,0.2142857142857142,0.3214285714285714,0.0439025926537756,Low,Low,0,False
Lesson-09,B,0.55,0.375,0.625,0.0874007373475126,Low,Low/Medium,1,True
Lesson-09,C,0.22,0.1,0.3,0.1032795558988644,Low,Low,0,False
Lesson-09,D,0.8,0.5,1.0,0.1581138830084189,Medium,Low/Medium/High,2,True
Lesson-09,F,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.851389114294502e-17,Low,Low,0,False
Lesson-09,ALL,0.4214285714285714,0.3571428571428571,0.5,0.0470200420431702,Low,Low,0,False
Lesson-10,B,0.0,0.0,0.0,0.0,Low,Low,0,False
Lesson-10,C,0.0,0.0,0.0,0.0,Low,Low,0,False
Lesson-10,D,0.5,0.5,0.5,0.0,Low,Low,0,False
Lesson-10,F,0.15,0.0,0.1666666666666666,0.0527046276694729,Low,Low,0,False
Lesson-10,ALL,0.1035714285714285,0.0714285714285714,0.1071428571428571,0.0112938487863156,Low,Low,0,False
